Ticker,LTP,Win_Probability,Percentile_Rank
HINDALCO.NS,1058.5,0.458165623297528,100.0
PIDILITIND.NS,1660.0,0.45684930721452544,99.57627118644068
NHPC.NS,76.65,0.45494220388624884,99.15254237288136
MUTHOOTFIN.NS,3209.0,0.45472243894876213,98.72881355932203
APOLLOHOSP.NS,8702.0,0.45375397053224625,98.30508474576271
DLF.NS,689.0,0.45201814859725503,97.88135593220339
TATASTEEL.NS,186.3,0.4520103024015507,97.2457627118644
IOC.NS,138.5,0.4520103024015507,97.2457627118644
JINDALSTEL.NS,1149.0,0.4510320794822661,96.61016949152543
VOLTAS.NS,1242.0,0.4479346932959757,96.1864406779661
