Ticker,LTP,Win_Probability,Percentile_Rank
BANKBARODA.NS,247.0,0.45588521810322596,100.0
CANBK.NS,129.96,0.4545751091697173,99.73684210526315
ICICIBANK.NS,1420.0,0.4539787825643133,99.47368421052632
IDFCFIRSTB.NS,86.75,0.4537758711728355,99.21052631578947
BAJAJFINSV.NS,2032.5,0.45377319371836405,98.81578947368422
ABCAPITAL.NS,413.0,0.45377319371836405,98.81578947368422
HDFCLIFE.NS,554.8,0.4519352013125257,98.42105263157895
HEROMOTOCO.NS,5735.0,0.4518920779150657,98.15789473684211
FEDERALBNK.NS,361.0,0.44939758759989207,97.89473684210527
SBICARD.NS,649.0,0.44886856295987965,97.63157894736842
